!!! (Chk Chk Chk)	Wednesday June 30, 2010 at 11:59 p.m.	Club Soda	!!! (Chk Chk Chk)
Jordan Officer	Saturday March 12, 2011 at 8 p.m.	L'Astral  (Maison du Festival Rio Tinto Alcan)	
Jordan Officer	Sunday March 13, 2011 at 8 p.m.	Gatineau - Maison de la culture de Gatineau - Salle Odyssée	
Jordan Officer	Tuesday March 15, 2011 at 8 p.m.	Brossard - L’Étoile Banque Nationale	
Jordan Officer	Thursday March 17, 2011 at 8 p.m.	Saint-Hyacinthe - Centre des arts Juliette-Lassonde - Salle Desjardins	
Jordan Officer	Friday March 18, 2011 at 8 p.m.	Ste-Thérèse - Théâtre Lionel-Groulx	
Jordan Officer	Saturday March 19, 2011 at 8 p.m.	Shawinigan - Centre des arts de Shawinigan, Salle Philippe-Filion	
Jordan Officer	Sunday March 20, 2011 at 8 p.m.	Sherbrooke - Théâtre Granada	
Jordan Officer	Thursday March 24, 2011 at 8 p.m.	Salaberry-de-Valleyfield - Salle Albert-Dumouchel	
Jordan Officer	Friday March 25, 2011 at 7 p.m.	L’Assomption - Théâtre Hector-Charland	
Jordan Officer	Saturday March 26, 2011 at 8 p.m.	Beloeil - Centre Culturel de Beloeil	
Jordan Officer	Sunday March 27, 2011 at 3:30 p.m.	Saint-Jean-sur-Richelieu - Théâtre des Deux Rives	
Jorge Ben	Wednesday July 1, 1998 at 9 p.m.	Métropolis 	Jorge Ben
Jorge Dalto	Sunday June 30, 1985 at 7:30 p.m.	Spectrum de Montréal	Jorge Dalto and The Inter American Band
Jorge Martinez	Thursday June 28, 2007 at 11 p.m.	Scène CBC/Radio-Canada BEST BUY	Jorge Martinez
Jorge Martinez	Friday June 29, 2007 at 8 p.m.	Tente SIMMM GM	
Jorge Rossy	Saturday July 1, 2000 at 9 p.m.	Spectrum de Montréal 	Brad Mehldau Trio 
Jorge Strunz	Saturday July 4, 1992 at 9:30 p.m.	Spectrum de Montréal	Strunz and Farah
Jorge Strunz	Monday June 30, 2008 at 7 p.m.	Club Soda	Strunz &amp; Farah
Jorgen Emborg's Keyword	Saturday June 30, 1990 at 10:30 p.m.	Amphithéâtre Canadien International	Jorgen Emborg's Keyword
Jorgen Emborg's Keyword	Sunday July 1, 1990 at 12 p.m.	Sur la Place du Complexe Desjardins (intérieur)	
Jose Conde	Sunday June 29, 2008 at 8 p.m.	Scène Bell	Jose Conde &amp; Ola Fresca
José James	Wednesday June 30, 2010 at 7 p.m.	Savoy du Métropolis	José James and Jef Neve Duo
José James	Thursday July 1, 2010 at 9 p.m.	Scène TD	José James BlackMagic Band
José James	Thursday July 1, 2010 at 11 p.m.	Scène TD	
José Maria Vitier Y Su Grupo	Friday June 28, 1991 at 7:30 p.m.	Scène Ultramar	José Maria Vitier Y Su Grupo
José Maria Vitier Y Su Grupo	Friday June 28, 1991 at 9:30 p.m.	Théâtre du Nouveau Monde	
Jose Saluzzi 	Wednesday July 2, 1997 at 11 p.m.	Salle du Gesù	Dino Saluzzi Trio
Joseph Arthur	Friday July 4, 2008 at 7 p.m.	Club Soda	Joseph Arthur Solo
Joseph Arthur	Sunday June 27, 2010 at 11 p.m.	O Patro Vys	Joseph Arthur - Solo
Joseph Arthur	Monday June 28, 2010 at 11 p.m.	O Patro Vys	
Joseph Arthur	Tuesday June 29, 2010 at 11 p.m.	O Patro Vys	
Joseph Arthur	Wednesday June 30, 2010 at 11 p.m.	O Patro Vys	
Joseph Arthur	Thursday July 1, 2010 at 11 p.m.	O Patro Vys	
Joseph Arthur	Friday July 2, 2010 at 11 p.m.	O Patro Vys	
Joseph Arthur	Saturday July 3, 2010 at 11 p.m.	O Patro Vys	
Joseph Arthur	Sunday July 4, 2010 at 11 p.m.	O Patro Vys	
Joseph Arthur	Monday July 5, 2010 at 11 p.m.	O Patro Vys	
Joseph Arthur	Tuesday July 6, 2010 at 11 p.m.	O Patro Vys	
Joseph Dieudonné Larose	Sunday July 2, 2000 at 7:30 p.m.	Bleue Dry Stage	Larose Missile 727 
Joseph Malik	Friday July 4, 2003 at 11:59 p.m.	Club Soda	Jazzanova - Joseph Malik
Joseph Malik	Tuesday July 6, 2004 at 11:59 p.m.	Club Soda	Bullfrog - Joseph Malik
Joseph Maurice	Thursday July 2, 1987 at 6 p.m.	Scène Yogourt Liberté	Quintette de Joseph Maurice
Josh White Jr.	Saturday July 1, 2000 at 8 p.m.	Terrasse du Casino de Montréal 	Josh White Jr. 
Joshua Bishop	Thursday July 9, 1998 at 12 p.m.	Carrefour Génération le Lait	Bishop &amp; Massé 
The Joshua Ell Trio	Saturday July 1, 1995 at 7 p.m.	Terrasse Nescafé	The Joshua Ell Trio
Joshua Herbst	Thursday July 1, 2004 at 10 p.m.	Labatt Bleue Légère Stage	Keston and Westdal featuring Joshua Herbst
Joshua Rager	Thursday July 1, 2004 at 7 p.m.	Club Jazz Banque TD Canada Trust Stage	Joshua Rager Sextet with Ingrid Jensen
Joshua Rager	Thursday July 1, 2004 at 10 p.m.	Club Jazz Banque TD Canada Trust Stage	
Joshua Rager	Friday July 10, 2009 at 7 p.m.	Club Jazz TD Canada Trust 	Joshua Rager
Joshua Rager	Friday July 10, 2009 at 9 p.m.	Club Jazz TD Canada Trust 	
Joshua Rager	Saturday June 26, 2010 at 6:30 p.m.	House of Jazz	Josh Rager with Remi Bolduc
Joshua Rager	Monday June 28, 2010 at 6:30 p.m.	House of Jazz	Josh Rager Pianist
Joshua Rager	Tuesday June 29, 2010 at 8:30 p.m.	House of Jazz	Josh Rager with Dave Turner
Joshua Rager	Saturday July 3, 2010 at 6:30 p.m.	House of Jazz	Josh Rager with Kevin Dean
Joshua Rager	Tuesday July 6, 2010 at 6 p.m.	House of Jazz	Josh Rager Pianist
Joshua Redman	Friday July 3, 1992 at 10:30 p.m.	Cinquième Salle PDA/MACM	Future Now ! Geoff Keezer / Christian McBride / Joshua Redman
Joshua Redman	Thursday June 30, 1994 at 6 p.m.	Spectrum de Montréal	La nouvelle star du sax tenor Joshua Redman 
Joshua Redman	Thursday June 30, 1994 at 8:30 p.m.	Salle Wilfrid-Pelletier	Une soirée avec le Holly Cole Trio 
Joshua Redman	Saturday July 1, 1995 at 6 p.m.	Théâtre Maisonneuve 	Joshua Redman Quartet
Joshua Redman	Saturday June 29, 1996 at 8:30 p.m.	Salle Wilfrid-Pelletier, PdA	Chick Corea and friends remembering Bud Powell
Joshua Redman	Saturday January 20, 2001 at 8 p.m.	Spectrum de Montréal	Joshua Redman Quartet 
Joshua Redman	Saturday June 28, 2003 at 6 p.m.	Théâtre Maisonneuve - PdA	Joshua Redman's "Elastic" project
Joshua Redman	Saturday July 3, 2004 at 6 p.m.	Théâtre Maisonneuve - PdA	Kurt Rosenwinkel Quintet with Larry Grenadier, Ali Jackson, Brad Mehldau and Joshua Redman
Joshua Redman	Saturday June 30, 2007 at 6 p.m.	Théâtre Maisonneuve - PdA	Joshua Redman Trio
Joshua Redman	Saturday July 4, 2009 at 6 p.m.	Gesù — Centre de créativité 	Joshua Redman, Aaron Parks, Matt Penman and Eric Harland Quartet 
Joshua Redman	Sunday July 5, 2009 at 6 p.m.	Gesù — Centre de créativité 	Joshua Redman, Sam Yahel, Gregory Hutchinson and Reuben Rogers with special guest Joe Lovano
Joshua Redman	Monday July 6, 2009 at 9:30 p.m.	Théâtre Maisonneuve - PdA 	Joshua Redman Double Trio with Brian Blade, Larry Grenadier, Gregory Hutchinson and Reuben Rogers
Joshua Redman	Sunday June 26, 2011 at 9:30 p.m.	Théâtre Maisonneuve - PdA	Joshua Redman - Brad Mehldau Duo
Joy Anandasivam	Friday June 30, 2000 at 7:30 p.m.	Bleue Dry Stage	Joy Anandasivam 
Joyce	Saturday July 4, 2009 at 7 p.m.	Club Soda	Joyce
JT Lewis	Friday June 25, 2010 at 8 p.m.	Théâtre Jean-Duceppe - PdA 	Bitches Brew Revisited with Vernon Reid, Graham Haynes, DJ Logic, Melvin Gibbs, James Hurt, JT Lewis, Adam Rudolph and Antoine Roney
Jtadi	Wednesday July 5, 2006 at 5 p.m.	Best Buy / CBC Stage	Jtadi
Jtadi	Wednesday July 5, 2006 at 6:15 p.m.	Best Buy / CBC Stage	
Jtadi	Thursday July 6, 2006 at 1 p.m.	Terrasse Amarula Stage	
Jtadi	Thursday July 6, 2006 at 4 p.m.	Alcan Stage	
Jtadi	Saturday July 8, 2006 at 7 p.m.	Terrasse Amarula Stage	
Jtadi	Friday June 29, 2007 at 4 p.m.	Scène Alcan	Jtadi
Jtadi	Friday June 29, 2007 at 7 p.m.	Terrasse Amarula	
Jtadi	Monday July 2, 2007 at 4:45 p.m.	Scène CBC/Radio-Canada BEST BUY	
Jtadi	Monday July 2, 2007 at 6 p.m.	Scène CBC/Radio-Canada BEST BUY	
Jtadi	Tuesday July 3, 2007 at 4 p.m.	Scène Alcan	
Juan Carmona	Friday July 6, 2007 at 6:30 p.m.	Carrefour General Motors	Juan Carmona Grupo
Juan Carmona	Saturday July 7, 2007 at 9 p.m.	Carrefour General Motors	
Juan Carmona	Friday July 2, 2010 at 8 p.m.	Théâtre du Nouveau Monde	Juan Carmona
Juan Carmona	Saturday July 3, 2010 at 8 p.m.	Théâtre du Nouveau Monde	
Juan Carranza	Saturday July 1, 2000 at 9 p.m.	General Motors Stage	Juan José Carranza 
Juan Carranza	Saturday July 1, 2000 at 11 p.m.	General Motors Stage	
Juan Jose Mosalini	Wednesday July 5, 1995 at 9 p.m.	Spectrum de Montréal	Juan Jose Mosalini 
Juan José Mosalini 	Thursday July 4, 1985 at 11:30 p.m.	Spectrum de Montréal	Juan Jose Mosalini
Juan José Mosalini 	Thursday July 8, 1999 at 6 p.m.	Théâtre Olympia 	Juan José Mosalini 
The Juan Maclean	Saturday July 8, 2006 at 11:59 p.m.	Club Soda	The Juan Maclean -   MSTRKRFT
The Juan Maclean	Sunday June 29, 2008 at 8:30 p.m.	Métropolis	We Are Wolves
Juana Molina	Friday July 8, 2005 at 7 p.m.	Club Soda	Juana Molina et Keren Ann
Jubilation Gospel Choir	Sunday July 2, 1989 at 10 p.m.	Scène du Complexe Desjardins	Jubilation Gospel Choir et Kim Richardson
Judi Silvano	Sunday July 4, 1999 at 7:30 p.m.	Monument national - Ludger Duvernay 	Joe Lovano's Special Ensemble with Ed Schuller, Bob Meyer, Tim Hagans, Erik Freidlander, Idris Muhammad 
Judith Darmont	Monday July 5, 2004 at 9 p.m.	Musée d'Art Contemporain de Montréal - Beverley-Rolph-Webster	Michel Benita - Translate
Judy Mowatt	Tuesday July 7, 2009 at 9 p.m.	Scène General Motors	Rocksteady: The Roots of Reggae
Judy Wexler	Saturday July 4, 2009 at 8:30 p.m.	Upstairs	Judy Wexler avec le Jeff Johnston Trio
Juez	Wednesday July 3, 1991 at 10:30 p.m.	Amphilthéâtre Canadien International	Juez
Juez	Thursday July 4, 1991 at 12 p.m.	Sur la Place du Complexe Desjardins (intérieur)	
Jukejoint	Sunday July 5, 1998 at 10 p.m.	Scène Bleue Dry 	Jukejoint 
Jukejoint	Monday July 6, 1998 at 10 p.m.	Scène Bleue Dry 	
Juldeh Camara	Friday July 10, 2009 at 8 p.m.	Scène Bell 	Justin Adams &amp; Juldeh Camara
Julian Joseph	Sunday July 2, 1995 at 5 p.m.	Théâtre du Maurier Ltée	Julian Joseph solo
Julian Joseph	Sunday July 2, 1995 at 11 p.m.	Théâtre du Maurier Ltée	
Julian Lage	Tuesday June 30, 2009 at 8 p.m.	Théâtre Maisonneuve - PdA 	Maria Schneider Orchestra
Julian Lage	Friday October 16, 2009 at 8 p.m.	L'Astral (Maison du Festival Rio Tinto Alcan)	Julian Lage
Julie Crochetière	Saturday July 2, 2005 at 8 p.m.	Bell-Samsung Stage	JulieC
Julie Crochetière	Saturday July 2, 2005 at 10 p.m.	Bell-Samsung Stage	
Julie Lamontagne	Saturday February 4, 2012 at 8 p.m.	Saint-Hyacinthe - Centre des arts Juliette-Lassonde (Salle Desjardins)	Al Di Meola duo with Peo Alfonsi
Julie Lamontagne	Sunday February 5, 2012 at 3:30 p.m.	Saint-Jean-sur-Richelieu - Théâtre des Deux-Rives	
Julie Lamontagne	Thursday February 9, 2012 at 8 p.m.	Valleyfield - Salle Albert-Dumouchel	
Julie Lamontagne	Friday February 10, 2012 at 8 p.m.	Shawinigan - Centre des arts de Shawinigan (Salle Philippe-Filion)	
Julie Lamontagne	Saturday February 11, 2012 at 8 p.m.	Montmagny - Salle Edwin-Bélanger	
Julie Lamontagne	Wednesday February 15, 2012 at 8 p.m.	Sherbrooke - Théâtre Granada	
Julie Lamontagne	Thursday February 16, 2012 at 8 p.m.	Gatineau - Maison de la culture de Gatineau (Salle Odyssée)	
Julie Lamontagne	Friday February 17, 2012 at 8 p.m.	Longueuil, Théâtre de la Ville (Salle Pratt &amp; Whitney Canada)	
Julie Lamontagne	Saturday February 18, 2012 at 8 p.m.	Québec - Grand Théâtre de Québec (Salle Octave-Crémazie)	
Julie Lamontagne	Tuesday February 21, 2012 at 7 p.m.	Victoriaville - Pavillon Arthabaska	
Julie Lamontagne	Wednesday February 22, 2012 at 8 p.m.	L'Assomption, Théâtre Hector-Charland	
Julie Lamontagne	Thursday February 23, 2012 at 8 p.m.	L'Astral (Maison du Festival Rio Tinto Alcan)	
Julie Lamontagne	Friday February 24, 2012 at 8 p.m.	L'Astral (Maison du Festival Rio Tinto Alcan)	
Julie Lamontagne	Saturday February 25, 2012 at 8 p.m.	Sainte-Thérèse - Théâtre Lionel-Groulx	
Julie Lamontagne	Sunday February 26, 2012 at 8 p.m.	Beloeil, Centre culturel de Beloeil	
Julie Lamontagne	Friday July 2, 2004 at 7 p.m.	Club Jazz Banque TD Canada Trust Stage	Julie Lamontagne Trio
Julie Lamontagne	Friday July 2, 2004 at 10 p.m.	Club Jazz Banque TD Canada Trust Stage	
Julie Lamontagne	Friday July 8, 2005 at 8 p.m.	CBC Television Stage	Julie Lamontagne Trio
Julie Lamontagne	Friday July 8, 2005 at 10 p.m.	CBC Television Stage	
Julie Lamontagne	Saturday July 1, 2006 at 6 p.m.	Salle du Gésù	Julie Lamontagne Trio
Julie Lamontagne	Wednesday July 1, 2009 at 6 p.m.	L'Astral (Maison du Festival Rio Tinto Alcan)	Julie Lamontagne Trio
Julie Lamontagne	Thursday October 22, 2009 at 8 p.m.	L'Astral (Maison du Festival Rio Tinto Alcan)	Julie Lamontagne
Julie Lamontagne	Sunday June 27, 2010 at 7 p.m.	Upstairs	Houston Person Feat. Julie Lamontagne Trio
Julie Lamontagne	Sunday June 27, 2010 at 9:15 p.m.	Upstairs	
Julie Lamontagne	Monday June 28, 2010 at 7 p.m.	Upstairs	
Julie Lamontagne	Monday June 28, 2010 at 9:15 p.m.	Upstairs	
Julie Massicotte	Thursday July 3, 1997 at 7 p.m.	Scène Labatt Blues	Billy Charcoal special guest Julie Massicotte 
Julie Massicotte	Thursday July 3, 1997 at 11 p.m.	Scène Labatt Blues	
Julien Alour	Sunday June 27, 2010 at 10:30 p.m.	Gesù, Centre de créativité	Daniel Mille with Alfio Origlio, Jérôme Regard, Julien Alour and Andy Barron
Julien Lourau	Wednesday July 2, 1997 at 11:59 p.m.	Foufounes Électriques	Julien Lourau Groove Gang 
Jully Black	Sunday July 3, 2005 at 8:30 p.m.	Salle Wilfrid Pelletier - PdA	Voices of Soul (Soirée Soul)
Jully Black	Monday June 30, 2008 at 10 p.m.	Scène Bell	Jully Black
Jumo	Tuesday July 1, 1986 at 4 p.m.	Emery Stage	Jumo
The Jumpstreet Five	Friday July 3, 1992 at 10 p.m.	Scène Labatt	Bryan Lee and The Jumpstreet Five
The Jumpstreet Five	Friday July 3, 1992 at 11:59 p.m.	Spectrum de Montréal	
June Wallack	Sunday July 3, 1983 at 9 p.m.	Scène Carlsberg	Tiger Okoshi
June Wallack	Thursday July 3, 1986 at 6 p.m.	Emery Stage	June Wallack Quintet
Junior Wells	Friday July 5, 1991 at 9:30 p.m.	Scène Labatt Blues	Junior Wells - CANCELLED
Junior Wells	Friday July 5, 1991 at 11:59 p.m.	Spectrum de Montréal	
Junior Wells	Wednesday July 8, 1992 at 10 p.m.	Scène Labatt	Junior Wells
Junior Wells	Wednesday July 8, 1992 at 11:59 p.m.	Spectrum de Montréal	
Junko Onishi Trio	Sunday June 29, 1997 at 8:30 p.m.	Théâtre du Nouveau Monde	Martial Solal avec Gary Peacock et Paul Motian 
Les Junkyard Dogs	Saturday July 5, 2003 at 7 p.m.	Labatt Bleue Stage	The Junkyard Dogs
Les Junkyard Dogs	Saturday July 5, 2003 at 11 p.m.	Labatt Bleue Stage	
Justin Adams	Friday July 10, 2009 at 8 p.m.	Scène Bell 	Justin Adams &amp; Juldeh Camara
Justin Figueroa	Thursday July 5, 2007 at 8 p.m.	Théâtre du Nouveau Monde	Florence K
Justin Figueroa	Friday July 6, 2007 at 8 p.m.	Théâtre du Nouveau Monde	
Justin Figueroa	Saturday July 7, 2007 at 8 p.m.	Théâtre du Nouveau Monde	
Justin Saladino	Monday June 27, 2011 at 9 p.m.	Scène Loto-Québec	Guitar Explosion with Paul Deslauriers and Jack de Keyzer
Justin Saladino	Monday June 27, 2011 at 11 p.m.	Scène Loto-Québec	
Justine	Thursday July 7, 1994 at 9 p.m.	Théâtre du Forum 	Humour et Jazz avant-garde : Justine
JW-Jones Blues Band	Monday July 3, 2006 at 7 p.m.	Loto-Québec Stage	The Jw-Jones Blues Band
JW-Jones Blues Band	Wednesday October 21, 2009 at 8 p.m.	L'Astral (Maison du Festival Rio Tinto Alcan)	The JW-Jones Blues Band
JW-Jones Blues Band	Sunday July 4, 2010 at 7 p.m.	Scène Loto-Québec	The JW Jones Blues Band
k.d. lang	Wednesday July 7, 2004 at 8:30 p.m.	Salle Wilfrid-Pelletier - PdA	k.d. lang with OSM
k.d. lang	Monday June 27, 2011 at 7 p.m.	Salle Wilfrid-Pelletier - PdA 	k.d. lang &amp; The Siss Boom Bang
Kaba Horo	Monday July 3, 2006 at 9 p.m.	Carrefour General Motors	Lubo Alexandrov - Kaba Horo
Kaba Horo	Sunday July 12, 2009 at 9 p.m.	Scène du Festival 	Kaba Horo
Kadda Cherif Hadria	Wednesday July 2, 1997 at 10 p.m.	Scène Bleue Dry	Kadda Cherif Hadria 
Kai Eckhardt-Karpeh 	Sunday July 2, 1989 at 6 p.m.	Théâtre St-Denis	John McLaughlin Trio avec Trilok Gurtu et Kai Eckhardt-Karpeh 
Kaki King	Tuesday July 5, 2005 at 6:30 p.m.	Carrefour General Motors	Kaki King
Kaki King	Tuesday July 5, 2005 at 9 p.m.	Jeanne Mance TBC	
Kaki King	Saturday July 8, 2006 at 6 p.m.	Spectrum de Montréal	Ani DiFranco
Kaki King	Saturday July 8, 2006 at 8 p.m.	Salon Jeanne Mance	Kaki King - SIMMM
Kaki King	Friday July 1, 2011 at 8 p.m.	Cinquième Salle - PdA 	Kaki King
Kalalou	Friday June 28, 2002 at 9 p.m.	Carrefour General Motors	Kalalou
Kali and Dub	Friday July 5, 1996 at 4 p.m.	Scène du Maurier	Kali and Dub
Kali and Dub	Sunday July 1, 2001 at 8 p.m.	Du Maurier Stage	Kali and Dub
Kali and Dub	Sunday July 1, 2001 at 10 p.m.	Du Maurier Stage	
Kali and Dub	Monday July 2, 2001 at 8 p.m.	Du Maurier Stage	
Kali and Dub	Monday July 2, 2001 at 11 p.m.	Du Maurier Stage	
Kali and Dub	Wednesday July 6, 2005 at 7:30 p.m.	Stella Artois Stage	Kali and Dub
Kaliroots	Saturday July 7, 2001 at 8 p.m.	Du Maurier Stage	Kaliroots
Kaliroots	Saturday July 7, 2001 at 10 p.m.	Du Maurier Stage	
Kaliroots	Sunday July 8, 2001 at 8 p.m.	Du Maurier Stage	
Kaliroots	Sunday July 8, 2001 at 10 p.m.	Du Maurier Stage	
Kalman Balogh	Monday July 3, 2000 at 6:30 p.m.	Carrefour General Motors 	Kalman Balogh and The Gypsy Cymbalom Band. 
Kalmunity 	Sunday July 5, 2009 at 10 p.m.	Scène Bell 	Kalmunity
Kalundu	Thursday July 6, 1995 at 10 p.m.	Scène Labatt Bleue Dry 	Kalundu
Kaly Live Dub	Friday June 27, 2008 at 8 p.m.	Scène du Festival	Kaly Live Dub
Kaly Live Dub	Friday June 27, 2008 at 10 p.m.	Scène du Festival	
Kaly Live Dub	Saturday June 28, 2008 at 10 p.m.	Scène Bell	
Kanda Bongo Man	Sunday July 12, 1992 at 8 p.m.	Scène Ultramar 	Kanda Bongo Man 
Kanda Bongo Man	Sunday July 12, 1992 at 10:30 p.m.	Scène Ultramar 	
Kappa	Saturday June 28, 1997 at 5 p.m.	Terrasse Nescafe	Kappa 
Kappa	Thursday July 1, 1999 at 4 p.m.	Scène du Maurier 	Kappa 
Karam	Monday June 29, 1987 at 9:30 p.m.	Scène Jazz Bud	Karam
Karam	Saturday July 2, 1988 at 10 p.m.	Scène Jazz Bud	Karam
Karam	Monday July 3, 1989 at 7 p.m.	Scène Jazz Bud	Karam
Karam	Monday July 3, 1989 at 9 p.m.	Scène Jazz Bud	
Karam	Sunday July 8, 1990 at 7:30 p.m.	Scène Carlsberg	Karam 
Karam	Sunday July 8, 1990 at 9:30 p.m.	Scène Carlsberg	
Karam	Friday July 5, 1991 at 6:30 p.m.	Scène Budweiser	Karam
Karam	Friday July 5, 1991 at 8:30 p.m.	Scène Budweiser	
Karam	Saturday July 3, 1993 at 12 p.m.	Place du Complexe Desjardins 	Karam
Karam	Friday July 8, 1994 at 4 p.m.	Scène du Maurier Ltée	Karam
Karen Crowe	Sunday July 10, 1994 at 7 p.m.	Place du Festival 	Karen Crowe
Karen Crowe	Friday July 5, 1996 at 7 p.m.	Terrasse Nescafé	Karen Crowe Quartet
Karen Crown	Friday July 5, 1991 at 7 p.m.	Scène du Complexe Desjardins	Karen Crown and Friends
Karen Mantler	Saturday June 30, 1990 at 10:30 p.m.	Scène du Complexe Desjardins	Karen Mantler
Karen Mantler	Friday July 5, 1991 at 10:30 p.m.	Amphilthéâtre Canadien International	Karen Mantler &amp; Her Cat Arnold
Karen Young	Monday July 13, 1981 at 9:30 p.m.	Transit de l'Hôtel Nelson	Karen Young, Michel Donato and Rich Withelaw
Karen Young	Tuesday July 6, 1982 at 10:30 p.m.	Salle Marie-Guérin-Lajoie de l'UQAM	Karen Young
Karen Young	Monday July 4, 1983 at 8:30 p.m.	Grand Café	Karen Young et Michel Donato
Karen Young	Friday July 6, 1984 at 7:30 p.m.	Théâtre St-Denis	The Duke Ellington Orchestra 
Karen Young	Friday July 4, 1986 at 8:30 p.m.	Ontario Stage	Karent Young et Michel Donato
Karen Young	Sunday July 5, 1987 at 8:30 p.m.	Scène Alcan	Karen Young / Michel Donato
Karen Young	Friday July 1, 1988 at 6:30 p.m.	Théâtre St-Denis	Opening Concert - Justin Time Gala
Karen Young	Friday June 30, 1989 at 8 p.m.	Amphithéâtre Canadien International	Karen Young / Michel Donato
Karen Young	Thursday July 5, 1990 at 6 p.m.	Théâtre du Nouveau Monde	Sheila Jordan et Harvie Swartz / Michel Donato et Karen Young
Karen Young	Sunday July 8, 1990 at 11 p.m.	Théâtre Alcan	Karen Young et le Tim Jackson Quartette
Karen Young	Friday June 28, 1996 at 8 p.m.	Salle Ludger-Duvernay, Monument National	Michel Donato with Karen Young, Michel Rivard and surprises
Karen Young	Friday July 4, 1997 at 6 p.m.	Spectrum de Montréal	Karen Young "Double plaisir"
Karen Young	Saturday July 10, 1999 at 8:30 p.m.	Salle Wilfrid-Pelletier - PdA	Hommage à Ella Fitzgerald avec Jeri Brown, Ranee Lee, Karen Young et le Vic Vogel Big Band
Karen Young	Friday February 28, 2003 at 8 p.m.	Spectrum de Montréal	Karen Young
Karen Young	Saturday July 5, 2008 at 6 p.m.	Gesù — Centre de créativité	Michel Donato 50 ans de contrebasse (Duos Avec J. Gelfand, K. Young, Y. Rieu, F. Bourrassa)
Karen Young	Sunday July 5, 2009 at 8:30 p.m.	Upstairs	Trio Young /  Provost / Guilbeault
Karen Young	Monday July 6, 2009 at 6 p.m.	L'Astral (Maison du Festival Rio Tinto Alcan)	Tribute to Éval Manigat
Karen Young	Monday July 5, 2010 at 6 p.m.	L'Astral (Maison du Festival Rio Tinto Alcan) 	Karen Young, Eric Auclair duo with Bugge Wesseltoft
Karey Ann Kutz	Thursday July 5, 1984 at 8:30 p.m.	UQAM - Salle Marie-Gérin-Lajoie	Trio Guy St-Onge with Karey Ann Kutz
Karine Bétournay Quartet	Friday July 1, 2011 at 4 p.m.	Scène CBC/Radio-Canada	Karine Bétournay Quartet de l’université McGill
Karine Chapdelaine	Saturday July 1, 2006 at 6 p.m.	General Motors Stage	Karine Chapdelaine &amp; the Sketches
Karine Chapdelaine	Wednesday November 15, 2006 at 5 p.m.	Savoy du Métropolis	Karine Chapdelaine
Karl Jannuska	Saturday July 3, 2004 at 7 p.m.	Club Jazz Banque TD Canada Trust Stage	Karl Jannuska "Liberating Vines" 
Karl Jannuska	Saturday July 3, 2004 at 10 p.m.	Club Jazz Banque TD Canada Trust Stage	
